SuperCategory,SubCategory,Level,guideword,Can-do statement,Example
CLAUSES,subordinated,B2,FORM/USE: NON-FINITE WITH '-ING',"Can use a non-finite subordinate clause with 'after' + 'having/being' + '-ed' form, before a main clause, to refer to past time. ","After having completed the project, she felt a great sense of accomplishment.
After having attended the workshop, he was able to apply the new techniques at work.
After being invited to the party, they decided to bring a special dish.
After having finished her homework, she went out to play with her friends.
After being diagnosed with the illness, he started a new treatment plan.
After having traveled for hours, they finally arrived at their destination.
After being offered the job, he accepted it with great enthusiasm.
After having studied the material, she felt confident about the exam.
After being given the opportunity, she seized it with both hands.
After having experienced the event, they wrote a detailed report about it."
CLAUSES,subordinated,B2,FORM/USE: CONDITIONS,"Can use a finite subordinate clause, before or after a main clause, with conjunctions to introduce conditions. ► clauses: conditionals","If you study hard, you will pass the exam.
As long as you are careful, you won't get hurt.
Unless you hurry, you'll miss the train.
Provided you have the right tools, the job will be easier.
If it rains, we'll stay indoors.
As long as you follow the instructions, you won't have any problems.
Unless the weather improves, we'll have to cancel the picnic.
Provided you arrive on time, you'll get a good seat.
If you don't eat, you'll get hungry.
Unless you practice, you won't improve."
CLAUSES,subordinated,C1,FORM: NON-FINITE AFTER 'IF',Can use non-finite clauses after 'if'. .► 'clauses: conditionals',"Please do not hesitate to ask for further assistance if needed.
Finally, there are some suggestions that, if taken, could improve the schools' academic standards.
There are plenty of taxis, of course, but they are very expensive, if compared with London taxis.
If necessary, we can arrange a meeting to discuss the project in more detail.
The proposal, if implemented, would significantly reduce traffic congestion in the city.
If delayed, the project could face serious financial penalties.
The company, if restructured, might be able to regain its competitive edge.
If combined, these resources could provide a comprehensive solution to the problem.
The new policy, if enforced, will ensure greater transparency in government operations.
If managed properly, the funds could be used to support various community projects."
CLAUSES,subordinated,B2,FORM/USE: '-ING' CLAUSE,"Can use a non-finite clause, introduced by '-ing' before a main clause, to give more information. ","Having finished my homework, I decided to watch a movie.
Using the new software, the team was able to complete the project faster.
Having practiced for weeks, she finally nailed the performance.
Using his experience, he managed to solve the problem quickly.
Having received the invitation, we immediately booked our flights.
Using the map, they found the hidden treasure.
Having reviewed the proposal, the board approved the project.
Using the latest technology, the company improved its efficiency.
Having considered all options, he chose the safest route.
Using her creativity, she designed a unique piece of art."
CLAUSES,subordinated,C1,FORM/USE: INVERSION,"Can introduce a subordinate clause with inverted 'should/had/were' + subject + verb, in formal contexts. ","Should the weather be unfavorable, we will postpone the event.
Had I realized the importance of this project, I would have worked harder.
Were she to change her mind, the outcome would be different.
Should the need arise, we will provide additional resources.
Had you informed us earlier, we could have made better arrangements.
Were it not for your help, I would have struggled to complete this task.
Should the situation change, we will adjust our strategy accordingly.
Had the train been on time, we would have arrived earlier.
Were he to reconsider his decision, the consequences might be mitigated.
Should the opportunity present itself, I will seize it without hesitation."
CLAUSES,subordinated,C1,"FORM/USE: NON-FINITE WITH '-ED' CLAUSES, FOCUS","Can use a non-finite subordinate clause with an '-ed' form, before a main clause, to give focus.","Compared to the campsite job this one has its advantages.
Based on the assessment above, I strongly recommend that we should take some action to improve the store.
Given all the inconveniences explained above I expect compensation from your company and if I do not hear from you within ten days I will have to contact my solicitors and take further steps.
Based in Zurich with departments all over Europe we reach almost 150 million people.
Compared to the previous model this new version is much more efficient.
Given the current economic climate, we need to reconsider our investment strategy.
Based on the feedback received, we will be making some changes to the program.
Given the complexity of the task, it is understandable that there were delays.
Compared to the old system, this new software is far more user-friendly.
Based on the research conducted, we can conclude that the hypothesis is valid."
CLAUSES,subordinated,C1,FORM/USE: 'NOT' + '-ING' CLAUSE,"Can use a non-finite clause, introduced by 'not' + '-ing', to give more information. ","Not realizing the importance of the meeting, he arrived late and missed the key points.
Not understanding the instructions, she couldn't complete the task correctly.
Not having enough time to prepare, the presentation was less polished than she had hoped.
Not seeing the sign, they drove into a restricted area and were fined.
Not expecting the sudden change in weather, they were caught off guard and unprepared.
Not having any prior experience, he found the job much more challenging than anticipated.
Not knowing the language, their trip to the foreign country was filled with misunderstandings.
Not realizing the consequences, they made a decision that would haunt them for years.
Not having enough money, they had to cancel their plans for a luxurious vacation.
Not understanding the cultural norms, their behavior was often misinterpreted."
CLAUSES,subordinated,C2,"FORM/USE: NON-FINITE AFTER 'ALTHOUGH', 'THOUGH'","Can use non-finite clauses after subordinating conjunctions '(although, though)', to express contrast. ","Although tired, she continued to work.
Though injured, he played the entire match.
Although busy, he always finds time for his family.
Though difficult, the task was completed successfully.
Although expensive, the quality of the product is excellent.
Though exhausted, she managed to finish the marathon.
Although late, he arrived just in time for the meeting.
Though inexperienced, she handled the situation very well.
Although small, the room was beautifully decorated.
Though challenging, the project was a great learning experience."
CLAUSES,subordinated,C2,"FORM/USE: 'WERE' + PRONOUN + 'TO' INFINITIVE, FORMAL","Can use 'Were' + pronoun + 'to' infinitive to introduce a condition, in formal contexts. ","Were I to decide on a career change, I would opt for a field that aligns with my passions.
Were you to encounter any difficulties, I would be more than willing to assist you.
Were we to implement this strategy, the results could be transformative for our organization.
Were they to reconsider their decision, it might lead to a more favorable outcome for all parties involved.
Were I to receive an invitation, I would undoubtedly accept it with great pleasure.
Were you to follow this advice, you would likely achieve your desired outcome.
Were we to collaborate on this project, the final product would undoubtedly be of high quality.
Were they to invest in renewable energy, it could significantly reduce their carbon footprint.
Were I to be given the chance, I would gladly take on the responsibility.
Were you to attend the conference, you would gain valuable insights into the latest industry trends."
CONJUNCTIONS,coordinating,A1,FORM: WORD + WORD,"Can use single word conjunctions ('and, but, or') to connect single nouns and adjectives.","I like apples and oranges.
My car is old but reliable.
She likes coffee or tea.
The park is big and beautiful.
I want a pen and a notebook.
He is tall but shy.
We need bread or cereal for breakfast.
The house is small and cozy.
She plays the piano and the guitar.
I prefer red or blue."
CONJUNCTIONS,coordinating,A1,FORM: PHRASE + PHRASE,"Can use single word conjunctions ('and, but, or') to combine phrases.","My home is very light and very comfortable.
I live with my mother and her boyfriend.
My house is small but very nice.
She likes to go to the cinema or to the theatre.
I want to eat pizza and drink soda.
He plays football but not basketball.
We can go to the park or stay at home.
She is smart and hardworking.
They went to the beach and had a picnic.
He likes apples but not oranges."
CONJUNCTIONS,coordinating,A1,FORM: CLAUSE + CLAUSE,"Can use single word conjunctions ('and, but, or') to combine clauses.","He is a doctor and he helps many people.
She likes to read books and she learns a lot from them.
I want to go to the park, but it is raining outside.
You can have apples or oranges for your snack.
We play games and we have a lot of fun.
He likes to swim, but he also likes to play soccer.
I will go to the store and buy some milk.
She is very smart and she always does well in school.
We can watch a movie or play a board game tonight.
He wants to be a teacher and he loves children."
CONJUNCTIONS,coordinating,A1,FORM: SENTENCE + SENTENCE,"Can use single word conjunctions ('and, but, or') to combine sentences.","I like it because there are lots of shops, it is not too busy and there is lots of parking.
And I like my home because it's not too big and it's a very nice flat.
I am from Estonia. Estonia it is a small country near the Baltic Sea.
But now I live in Dorchester, because I work here.
I go shopping on Ladypool Road.
Or sometimes I go to my local shop.
I like reading books, but I also enjoy watching movies.
She likes ice cream, and her sister loves chocolate.
We can go to the park, or we can stay at home.
He is tired, but he still wants to play."
CONJUNCTIONS,coordinating,A1,USE: LISTING,Can use 'and' and 'or' before the final item in a list. ,"I have a cat, a dog and a parrot.
I need to buy milk, bread and eggs.
She likes to read books, watch movies and listen to music.
He plays football, basketball and tennis.
They visited Paris, Rome and London.
I can have tea, coffee or juice.
We can go to the park, the beach or the mountains.
She has a red dress, a blue dress and a green dress.
He needs to finish his homework, study for the test and go to bed.
We can have pizza, pasta or salad for dinner."
CONJUNCTIONS,coordinating,A1,"USE: 'BUT', CONCESSIVE",Can use 'but' to add an unexpected contrast. ,"I like chocolate, but I don't like coffee.
She is young, but she is very wise.
He is short, but he can jump very high.
I want to go out, but it's raining.
The movie was long, but it was very interesting.
The book is thick, but it's easy to read.
He is small, but he is very strong.
I like summer, but I don't like the heat.
The toy is simple, but it's very fun to play with.
She is quiet, but she has a lot of friends."
CONJUNCTIONS,coordinating,B1,FORM: COMPLEX ADDING,"Can use a range of conjunctions ('and, but, or, so, then') to combine more complex strings of clauses and sentences.","I was tired after work, but I decided to go for a run, so I felt much better afterward.
She wanted to buy a new car, but she didn't have enough money, so she decided to save up for a few months.
He studied hard for the exam, and he passed with flying colors, so his parents were very proud of him.
We planned a picnic, but it started raining, so we had to cancel it and stay indoors.
She was feeling sick, so she went to the doctor, and they told her to rest for a few days.
They wanted to go on vacation, but they couldn't find a good deal, so they decided to stay home instead.
He forgot his keys, so he had to call his roommate, and they let him in after a few minutes.
She wanted to cook dinner, but she didn't have any ingredients, so she ordered takeout instead.
They were running late, so they took a taxi, and they arrived just in time for the meeting.
He was nervous about the presentation, but he practiced a lot, so he did well in the end."
CONJUNCTIONS,coordinating,B1,FORM: 'PLUS' WITH NOUNS,"Can use 'plus' as coordinating conjunction, often in relation to numbers. ","In my house, we are six people, my mother, my father, my sister, and my two brothers, plus my two cats, which are members of the family too.
It cost me £2,500 plus the taxes.
At the moment, I pay 550 pounds monthly plus bills.
The total cost of the trip was $1,000 plus the hotel fees.
She earns $50,000 a year plus bonuses.
The car costs $25,000 plus the registration fees.
We spent $300 on groceries plus the cost of gas.
He paid $100 for the ticket plus a service charge.
The project required 100 hours of work plus additional revisions.
The meal cost $50 plus a 10% tip."
CONJUNCTIONS,coordinating,B1,FORM/USE: 'PLUS' WITH CLAUSES,"Can use 'plus' to connect clauses and sentences, often to point out a positive addition or advantage.","I love going to the beach, plus the weather is always perfect there.
She is a great cook, plus she always makes enough for everyone.
The movie was really entertaining, plus the actors did an amazing job.
The hotel is close to the city center, plus it has a beautiful view of the river.
He is very knowledgeable about history, plus he knows how to make it interesting.
The concert was fantastic, plus the band played all our favorite songs.
The book is well-written, plus it has a captivating plot.
The restaurant has delicious food, plus the service is excellent.
The car is fuel-efficient, plus it has a comfortable interior.
The trip was educational, plus we had a lot of fun along the way."
CONJUNCTIONS,coordinating,B1,FORM: 'EITHER … OR',"Can use 'either … or' to connect two words, phrases or clauses.","You can either take the bus or walk to the office.
Either Sarah or her sister will be at the party tonight.
We can either watch a movie or play a board game.
Either the red or the blue shirt would look good on you.
You can either have coffee or tea with your breakfast.
Either Tom or his brother is responsible for the mess.
We can either stay at home or go out for dinner.
Either the teacher or the students will present the project.
You can either use cash or a credit card to pay.
Either the weather will be sunny or it will rain tomorrow."
CONJUNCTIONS,coordinating,B1,FORM/USE: 'BOTH … AND' WITH NOUNS,"Can use 'both … and' to combine noun phrases, to give emphasis. ","She has both a beautiful voice and a great sense of humor.
Both the teacher and the students were excited about the new project.
He enjoys both reading books and watching movies in his free time.
Both the weather and the scenery made the trip unforgettable.
Both the company's profits and its reputation have improved significantly.
She is both intelligent and hardworking, which makes her successful.
Both the city and the countryside offer unique experiences.
Both the quality and the price of the product are excellent.
Both the team's performance and the audience's reaction were outstanding.
Both the food and the service at the restaurant were exceptional."
CONJUNCTIONS,coordinating,B2,FORM/USE: 'NEITHER … NOR' ,"Can use 'neither … nor' to connect two words, phrases or clauses, often to give emphasis or focus.","Neither the teacher nor the students were prepared for the test.
She neither likes coffee nor tea, but she loves hot chocolate.
Neither the weather nor the traffic was in our favor that day.
Neither the book nor the movie did justice to the original story.
He neither plays football nor basketball, but he excels in swimming.
Neither the manager nor the staff knew about the meeting.
Neither the price nor the quality of the product impressed me.
Neither the rain nor the wind could stop us from going hiking.
Neither the dog nor the cat seems to be interested in the new toy.
Neither the time nor the distance was a concern for our journey."
CONJUNCTIONS,coordinating,B2,FORM/USE: 'BOTH … AND' WITH PHRASES AND CLAUSES,"Can use 'both … and' to combine phrases and clauses, often for emphasis. ","She is both intelligent and hardworking.
Both the weather and the scenery were perfect for the hike.
He wanted to both save money and help the environment by using public transportation.
The restaurant serves both traditional and modern dishes.
They both love traveling and exploring new cultures.
Both the teacher and the students were excited about the new project.
The company aims to both increase profits and improve employee satisfaction.
Both the sunrise and the sunset are breathtaking in this location.
She is both a talented musician and a skilled painter.
Both the book and the movie were well-received by critics."
CONJUNCTIONS,coordinating,C1,"FORM/USE: 'YET', CONCESSIVE","Can use '(and) yet' to combine phrases and clauses to introduce a contrast, often unexpected. ","The project was meticulously planned, and yet it still faced numerous delays.
The company had a stellar reputation, and yet it struggled to meet quarterly targets.
She had all the qualifications for the job, and yet she was overlooked for promotion.
The restaurant had rave reviews, and yet the service was slow and unattentive.
He had studied for weeks, and yet he failed the exam.
The house was beautifully decorated, and yet it felt cold and unwelcoming.
The team had practiced extensively, and yet they lost the match.
The product had all the features customers wanted, and yet it didn't sell well.
The city was known for its safety, and yet there was a recent surge in crime.
The novel was well-written, and yet it failed to captivate the audience."
CONJUNCTIONS,coordinating,C1,FORM: 'EITHER … OR',Can use 'either … or' to combine more complex strings of clauses and sentences.,"You can either choose to go on a road trip this weekend, exploring the scenic routes of the countryside, or stay in the city and attend the cultural festival that's happening downtown.
Either you can finish the report by tomorrow morning, ensuring all data is accurate and up-to-date, or you can delegate the task to your team and focus on the upcoming presentation.
Either we can order pizza for dinner tonight, enjoying a variety of flavors and toppings, or we can cook a homemade meal, savoring the freshness and quality of the ingredients.
Either you can take the train to work, avoiding the stress of traffic and saving on fuel costs, or you can drive, giving you the flexibility to leave whenever you want.
Either you can apply for the job at the tech company, which offers a competitive salary and opportunities for growth, or you can stay at your current position, where you have established relationships and a stable environment.
Either we can go hiking this weekend, enjoying the beauty of nature and getting some exercise, or we can stay indoors and watch movies, relaxing and spending quality time together.
Either you can take the online course, which allows you to learn at your own pace and from the comfort of your home, or you can attend the in-person classes, benefiting from direct interaction with the instructor and fellow students.
Either we can book a hotel for our vacation, enjoying the amenities and services provided, or we can rent a cabin in the woods, experiencing a more rustic and secluded getaway.
Either you can invest in the stock market, potentially earning high returns but also taking on significant risk, or you can put your money in a savings account, ensuring safety and stability but with lower interest rates.
Either we can have a formal dinner party, where we dress up and follow traditional etiquette, or we can have a casual barbecue, where everyone can relax and enjoy themselves in a more laid-back atmosphere."
CONJUNCTIONS,coordinating,C1,FORM/USE: 'NOT ONLY … BUT ALSO',"Can use 'not only … but also' to combine phrases and clauses, often for focus or emphasis.","She is not only a talented musician but also a brilliant composer.
The new policy not only encourages innovation but also supports sustainability.
He not only finished the marathon but also set a new record.
The restaurant serves not only delicious food but also excellent wine.
The team not only won the match but also secured a spot in the finals.
The book is not only informative but also entertaining.
The city is not only famous for its architecture but also for its vibrant culture.
The company not only offers competitive salaries but also provides professional development opportunities.
The event was not only well-organized but also highly engaging.
The product not only meets but also exceeds industry standards."
CONJUNCTIONS,coordinating,C1,FORM/USE: 'NOT ONLY … BUT ALSO' WITH INVERSION,"Can use inverted auxiliary 'do' + the subject after 'not only', to give focus.","Not only did she win the race, but she also broke the previous record.
Not only do we need to save energy, but we also need to conserve water.
Not only did he finish the project on time, but he also exceeded expectations.
Not only do I enjoy reading, but I also love writing stories.
Not only did they provide financial support, but they also offered emotional guidance.
Not only do I find the subject interesting, but I also believe it has practical applications.
Not only did the team perform well, but they also showed great teamwork.
Not only do I appreciate your help, but I also value your friendship.
Not only did the event raise awareness, but it also collected a significant amount of donations.
Not only do I respect your opinion, but I also consider it carefully."
CONJUNCTIONS,coordinating,C2,FORM/USE: 'NEITHER',"Can use 'Neither' or 'Nor' + inverted auxiliary or 'be' + subject to add to a previous related negative clause, to focus on an additional negative factor. ","Neither do I remember losing it during the time I was on the platform waiting for my train to pull in.
Nor does Jack's future look any more promising.
Nor is it possible to watch television peacefully without the thunderous noise in the background.
Neither did I oppose her 'need' to get new clothes every month.
Neither can I understand why she keeps buying so many books.
Nor did he seem interested in discussing the matter further.
Neither is the weather conducive to outdoor activities.
Nor have we received any updates from the authorities.
Neither did the teacher notice the student's absence.
Nor will the company consider any further negotiations."
CONJUNCTIONS,coordinating,C2,"FORM/USE: 'AND YET', CONCESSIVE","Can use 'And yet' to combine sentences to introduce a contrast, often unexpected, sometimes in a formal context. ","The weather forecast predicted clear skies, and yet it rained heavily throughout the day.
She had all the advantages in life, and yet she chose a humble path.
He studied diligently for the exam, and yet he failed to pass.
The project seemed doomed from the start, and yet they managed to complete it successfully.
She was known for her kindness, and yet she could be fiercely competitive.
The evidence was overwhelming, and yet the jury found him not guilty.
He had every opportunity to succeed, and yet he squandered them all.
The team was heavily favored to win, and yet they lost in the final round.
She had been warned about the dangers, and yet she ventured into the unknown.
The situation appeared hopeless, and yet they found a way to overcome it."
CONJUNCTIONS,subordinating,A1,FORM: 'BECAUSE' ,Can use 'because' as a subordinating conjunction to introduce a subordinate clause. ,"I am tired because I didn't sleep well.
He was late because he missed the bus.
They went to the park because the weather was nice.
She brought an umbrella because it was raining.
He didn't go to the party because he was sick.
We stayed home because we were bored.
She bought a new dress because she had a special occasion.
He likes his job because he gets to travel a lot.
They decided to go out because they had nothing to do at home."
CONJUNCTIONS,subordinating,A2,FORM: SIMPLE ,"Can use a limited range of simple subordinating conjunctions '(if, when, so, while)' to introduce a subordinate clause.","If it rains, we will stay at home.
When I finish my homework, I will play with my friends.
She was reading a book while I was watching TV.
If you want to go to the park, we can take a walk together.
When the sun sets, the sky turns orange.
I was cooking dinner while my sister was doing her homework.
If you need help, just ask me.
When the bell rings, it's time to go home.
She was singing while she was washing the dishes.
If you come early, we can have breakfast together."
CONJUNCTIONS,subordinating,B1,FORM: SIMPLE,"Can use an increasing range of simple subordinating conjunctions ('as, after, before since, until, although, whether, so (that), though') to introduce a subordinate clause.","I have to buy a desk, as I don't have one.
I usually read during the afternoon after I have finished my homework.
Before going out in the centre, we went to a pub in order to eat something together.
I haven't seen him since we were at school.
I'm really sorry that I'm not available to attend this since I'll be in China for an important meeting with a customer.
But I didn't remember my ring until I got back home.
Although the holiday was fantastic, I wished that you were with us.
My parents also want me to go on holiday with them this summer, although I want to stay with my friends.
There were lots of people waiting for us though we had never met them before.
I will wait until you come back."
CONJUNCTIONS,subordinating,B2,FORM: SIMPLE,"Can use a wide range of simple subordinating conjunctions ('once, whereas, unless, except (that) provided (that)'), to introduce a subordinate clause.","Once you finish reading the book, you'll understand why it's so popular.
Unless you hurry, we'll miss the train.
I prefer tea, whereas my sister loves coffee.
Provided that you bring your ID, you can enter the event for free.
He is usually punctual, except that he was late today due to traffic.
Once you master this skill, you'll find it easier to solve similar problems.
Unless it rains, we'll have the picnic in the park.
She is very talented, provided that she practices regularly.
I will attend the meeting, except that I have a prior commitment.
Whereas some people enjoy spicy food, others prefer milder flavors."
CONJUNCTIONS,subordinating,B2,FORM: COMPLEX,"Can use more complex subordinating conjunctions ('as long as, as soon as, in order that, despite the fact that, due to the fact that, as if, as though') to introduce a subordinate clause. ","As long as you keep practicing, you will improve your English skills.
As soon as the rain stops, we can go for a walk in the park.
In order that we can meet the deadline, we need to work overtime this week.
Despite the fact that it was raining, they still decided to go hiking.
Due to the fact that he was late, he missed the important meeting.
As if she knew the answer, she confidently raised her hand.
As though it were a normal day, he continued his work without any concern.
As long as you are prepared, you will do well on the exam.
As soon as the package arrives, I will let you know.
In order that everyone can hear, please speak louder."
CONJUNCTIONS,subordinating,C1,FORM/USE: FOCUS,"Can use 'whatever', 'wherever', 'however', etc. as a subordinating conjunction, at the beginning of a sentence, to give focus.","Whatever you decide, make sure it aligns with your long-term goals.
Wherever you travel, always respect the local customs and traditions.
However difficult the task may seem, perseverance will lead to success.
Whatever the outcome, we must remain committed to our principles.
Wherever life takes you, always remember the lessons you've learned.
However busy you are, make time for self-care and relaxation.
Whatever the weather, we will continue with our outdoor activities.
Wherever you find yourself, make the most of the opportunities around you.
However challenging the journey, the destination will be worth it.
Whatever the circumstances, honesty and integrity should guide your actions."
CONJUNCTIONS,subordinating,C2,FORM/USE: 'IN THAT',"Can use 'in that' as a subordinating conjunction, to give greater in-depth explanation, often in formal contexts. ","The new policy is controversial in that it imposes significant financial burdens on small businesses.
His argument is persuasive in that it provides a detailed analysis of the historical context.
The novel is particularly engaging in that it explores the complexities of human relationships.
The proposed solution is innovative in that it combines traditional methods with modern technology.
The documentary is powerful in that it exposes the harsh realities faced by refugees.
The study is significant in that it offers new insights into the causes of the disease.
The film is remarkable in that it portrays the protagonist's journey with great authenticity.
The strategy is effective in that it addresses both short-term and long-term goals.
The theory is compelling in that it reconciles previously conflicting scientific hypotheses.
The artwork is unique in that it blends various artistic styles to create a cohesive whole."
DETERMINERS,articles,A1,FORM: WITH NOUNS ,"Can use articles 'the', 'a' and 'an' before nouns. ► noun phrases","The cat is sleeping on the sofa.
I saw a big dog in the park.
She bought an apple from the store.
The book is on the table.
He has a red car.
An orange is in the basket.
The teacher is very nice.
A bird is flying in the sky.
The flowers are in the garden.
An elephant is at the zoo."
DETERMINERS,articles,A1,FORM: 'A' + ADJECTIVES,Can use 'a' and 'an' before adjectives in a noun phrase. ► adjectives ►  noun phrases,"She has a beautiful dress.
He bought a new car.
We saw an interesting movie.
They live in a big house.
It's an easy question.
She made a delicious cake.
He found a small key.
They visited an old museum.
It's a cold day.
She wrote a short letter."
DETERMINERS,articles,A1,FORM: 'A' + 'VERY' + ADJECTIVES,Can use 'a' + 'very' + adjectives in basic noun phrases. ► adverbs ►  noun phrases,"She has a very big house.
He wore a very colorful shirt.
They live in a very quiet village.
It was a very cold day.
She bought a very expensive car.
He wrote a very interesting book.
They saw a very tall building."
DETERMINERS,articles,A1,FORM: PREPOSITION + 'THE' + NOUN,Can use 'the' in prepositional phrases relating to time.,"I will meet you at the airport in the evening.
She will arrive at the station on the 15th of October.
We usually have dinner at the table in the dining room.
He goes to the gym every day after work at the office.
They will start the meeting at the top of the hour.
I will call you at the end of the month.
We will celebrate the birthday party at the park on Saturday.
She will leave for the trip at the beginning of next week."
DETERMINERS,articles,A1,FORM: PREPOSITION + NO ARTICLE,Can use no article before a limited range of nouns in some fixed expressions with prepositions.,"If you are at home, I can come tomorrow.
We are going to the sports centre by car.
I go to college every day.
She is in bed with a cold.
They are at the cinema tonight.
He is at work right now.
We went to the park yesterday.
She is at school today.
They are at the restaurant for dinner.
He is at the gym every morning."
DETERMINERS,articles,A1,FORM/USE: NO ARTICLE,"Can use no article before a limited range of singular, plural and uncountable nouns when referring to things in general. ","In my free time I usually play football.
In my free time usually I stay at home. I watch TV, read books.
I like rice and sweet dishes.
I often go to the park to play basketball.
I enjoy eating fruits and vegetables.
She prefers coffee over tea.
They always travel by train.
He loves reading books and magazines.
We often visit the beach in summer.
They usually eat breakfast at home."
DETERMINERS,articles,A2,"FORM/USE: 'THE' + ADJECTIVES, SPECIFYING","Can use 'the' + adjectives in a noun phrase, to specify. ","The old bridge is dangerous.
The big dog is friendly.
The young girl is talented.
The green apple is sour.
The tall building is impressive.
The small car is fast.
The blue sky is clear.
The happy children are playing.
The cold water is refreshing.
The hot coffee is delicious."
DETERMINERS,articles,A2,FORM: 'THE' + SUPERLATIVES ,Can form a noun phrase with 'the' + superlative adjectives + noun. ,"The tallest building in the city is the Empire State Building.
She bought the most beautiful dress for the party.
This is the smallest car I have ever seen.
The biggest problem we face is climate change.
It was the worst movie I have ever watched.
The oldest tree in the park is over 300 years old.
This is the easiest recipe I have ever tried.
The fastest runner in our school is Sarah.
The most popular book in the library is Harry Potter.
It was the longest flight I have ever taken."
DETERMINERS,articles,B1,FORM: 'ANOTHER',Can use 'another' with singular nouns. ► pronouns ► determiners ,"After finishing one book, she picked up another from the shelf.
He made a mistake, but he promised to try another method next time.
She ate one apple, and then decided to have another.
They visited one museum, and then decided to go to another.
He wrote one poem, and then started working on another.
She bought one dress, and then found another she liked even more.
He tried one recipe, and then decided to experiment with another.
She watched one movie, and then chose to watch another."
DETERMINERS,articles,B1,FORM: PREPOSITION + NO ARTICLE,Can use no article before an increasing range of nouns in some fixed expressions with prepositions. ,"The weather is very cold at night.
This programme will be shown on television next Friday.
The meeting will take place at noon.
The concert will start at eight o'clock.
The party will be held at Christmas.
The event will occur on Sunday.
The deadline for submissions is at midnight.
The game will be played on Saturday.
The exhibition will open at Easter.
The ceremony will take place on New Year's Day."
DETERMINERS,articles,B1,FORM/USE: NO ARTICLE,Can use no article before an increasing range of singular and plural nouns when referring to things in general. ,"Education in the future will change in a good way.
But remember this: friends are important, but they are not for life. Your family will always be there to support you.
Yes, sometimes I like shopping for clothes.
Books are a great source of knowledge.
Cars need regular maintenance to run smoothly.
Fish live in water and breathe through gills.
Trees provide oxygen and help clean the air.
Music can be a powerful form of expression.
Dogs are known for their loyalty and companionship.
Computers have become essential tools in modern life."
DETERMINERS,articles,B1,USE: ONE MORE (WITH 'ANOTHER'),Can use 'another' to talk about something additional. ,"Dear Mary, I spent a week in Dubai and I am going to spend another week in Al Ain.
In 'Master' they've got excellent pasta, which is another reason why I love the restaurant.
I need to buy a new book, but I'll read another chapter of this one first.
She has already finished one project, and now she is starting another one.
After completing the marathon, he decided to train for another race.
He bought one painting, and then he saw another one he liked even more.
We visited the museum, and then we decided to go to another one downtown.
She has one cat, and she plans to adopt another one next month.
After finishing his degree, he decided to pursue another one in a different field.
They finished one puzzle, so they decided to start another one."
DETERMINERS,articles,B1,USE: DIFFERENT (WITH 'ANOTHER'),Can use 'another' to talk about something different. ,"I need to buy some groceries, but I can go to the store another time.
She didn't like the first restaurant, so we decided to try another one.
I can't attend the meeting today, but I'll be there for another one next week.
He missed the bus, so he had to wait for another one to arrive.
The first movie was boring, so we watched another one instead.
I don't have the book you need, but you can borrow another one from the library.
She didn't pass the test, so she needs to take another one next month.
We can't go to the park today, but we can visit another one tomorrow.
The first dress didn't fit, so she tried on another one.
He didn't like the color of the car, so he chose another one."
DETERMINERS,articles,B1,FORM/USE: 'THE OTHER',"Can use 'the other' with a singular noun to refer to the second or the opposite of two things, and with a plural noun to refer to one of a set of things. ► pronouns ►  noun phrases","She saw his blue jacket in a shop on the other side of the street.
I moved to this house because the other house was very small, and my brother and I have to share a bedroom.
We need a new distribution company, because the other companies are very expensive.
In the first lesson we did some games in English, so I met all the other people in the class.
The other book on the shelf is more interesting than this one.
She prefers the other dress because it's more comfortable.
He gave one apple to his friend and kept the other for himself.
They visited one museum in the morning and the other in the afternoon.
The other students in the group are very friendly.
She left one painting at home and brought the other to the gallery."
DETERMINERS,articles,B2,FORM/USE: 'THE MORE … THE MORE …',"Can use the in comparative phrases 'more', 'less', 'worse', 'better … the more', 'less', 'worse …' to talk about one thing that is affected by another. ► comparative clauses ","The more you practice, the better you become at it.
The less you sleep, the more tired you feel.
The worse the weather, the fewer people go outside.
The more you study, the higher your grades will be.
The less you worry, the happier you will be.
The better the service, the more customers will return.
The more you save, the more financially secure you will be.
The less you spend, the more money you will have in the future.
The better the quality, the longer the product will last.
The more you exercise, the healthier you will become."
DETERMINERS,demonstratives,A1,FORM: 'THIS' WITH SINGULAR NOUNS,Can use 'this' with singular nouns. ► noun phrases ►  pronouns: demonstrative,"I like this book because it has interesting stories.
This car is very fast and comfortable.
Can you help me with this project?
This restaurant has delicious food.
This dog is very friendly and playful.
We can watch this movie tonight.
This park is perfect for a picnic.
This shirt is too big for me."
DETERMINERS,demonstratives,A1,"USE: 'THIS', POINTING",Can use 'this' in a limited range of contexts to refer to places from the speaker's or writer's point of view. ► noun phrases ►  pronouns: demonstrative,"I want to let you know about this area and the shops near here.
The football class and tennis class are the best things about this college.
I like this place because there are many cultures.
This park is very beautiful, and I come here often.
This restaurant has the best pizza in town.
This city is famous for its historical buildings.
This beach is perfect for a relaxing day.
This library has a great selection of books.
This museum is very interesting, and I learned a lot.
This school has a friendly and welcoming atmosphere."
